Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2013,311230,Breakfast cereal manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.009,0.0,0.009,4,3,1,5,1
2013,311300,Sugar and confectionery product manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.553,0.008,0.561,3,3,1,4,1
2013,311300,Sugar and confectionery product manufacturing,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,3,3,1,1,1
2013,311300,Sugar and confectionery product manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,311300,Sugar and confectionery product manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.008,0.0,0.008,4,3,1,4,1
2013,311410,Frozen food manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.577,0.011,0.588,3,3,1,4,1
2013,311410,Frozen food manufacturing,methane,"kg/2018 USD, purchaser price",0.008,0.0,0.008,3,3,1,1,1
2013,311410,Frozen food manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,4,1
2013,311410,Frozen food manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,4,3,1,4,1
2013,311420,"Fruit and vegetable canning, pickling, and drying",carbon dioxide,"kg/2018 USD, purchaser price",0.343,0.036,0.379,3,3,1,4,1
2013,311420,"Fruit and vegetable canning, pickling, and drying",methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,3,3,1,1,1
2013,311420,"Fruit and vegetable canning, pickling, and drying",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,311420,"Fruit and vegetable canning, pickling, and drying",other GHGs,"kg CO2e/2018 USD, purchaser price",0.044,0.0,0.044,4,3,1,5,1
2013,311513,Cheese manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.519,0.013,0.532,3,3,1,4,1
2013,311513,Cheese manufacturing,methane,"kg/2018 USD, purchaser price",0.04,0.0,0.04,3,3,1,1,1
2013,311513,Cheese manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,3,1
2013,311513,Cheese manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,4,3,1,4,1
2013,311514,"Dry, condensed, and evaporated dairy product manufacturing",carbon dioxide,"kg/2018 USD, purchaser price",0.557,0.002,0.559,3,3,1,4,1
2013,311514,"Dry, condensed, and evaporated dairy product manufacturing",methane,"kg/2018 USD, purchaser price",0.028,0.0,0.028,3,3,1,1,1
2013,311514,"Dry, condensed, and evaporated dairy product manufacturing",nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,3,1
2013,311514,"Dry, condensed, and evaporated dairy product manufacturing",other GHGs,"kg CO2e/2018 USD, purchaser price",0.008,0.0,0.008,3,3,1,4,1
2013,31151A,Fluid milk and butter manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.518,0.006,0.524,3,3,1,4,1
2013,31151A,Fluid milk and butter manufacturing,methane,"kg/2018 USD, purchaser price",0.037,0.0,0.037,3,3,1,1,1
2013,31151A,Fluid milk and butter manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,3,1
