Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2014,493,Warehousing and storage,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,3,2,1,1,1
2014,493,Warehousing and storage,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2014,493,Warehousing and storage,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,2,1,3,1
2014,4A0,Other retail,carbon dioxide,"kg/2018 USD, purchaser price",0.17,0.0,0.17,3,2,1,3,1
2014,4A0,Other retail,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2014,4A0,Other retail,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,4A0,Other retail,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,4,1
2014,511,"Publishing industries, except internet (includes software)",carbon dioxide,"kg/2018 USD, purchaser price",0.064,0.006,0.07,3,2,1,3,1
2014,511,"Publishing industries, except internet (includes software)",methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2014,511,"Publishing industries, except internet (includes software)",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,511,"Publishing industries, except internet (includes software)",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,3,2,1,4,1
2014,512,Motion picture and sound recording industries,carbon dioxide,"kg/2018 USD, purchaser price",0.062,0.002,0.064,3,2,1,3,1
2014,512,Motion picture and sound recording industries,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2014,512,Motion picture and sound recording industries,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,512,Motion picture and sound recording industries,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,4,1
2014,513,Broadcasting and telecommunications,carbon dioxide,"kg/2018 USD, purchaser price",0.092,0.0,0.092,3,2,1,3,1
2014,513,Broadcasting and telecommunications,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,1,1
2014,513,Broadcasting and telecommunications,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,513,Broadcasting and telecommunications,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,4,2,1,4,1
2014,514,"Data processing, internet publishing, and other information services",carbon dioxide,"kg/2018 USD, purchaser price",0.103,0.0,0.103,3,2,1,3,1
2014,514,"Data processing, internet publishing, and other information services",methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,1,1
2014,514,"Data processing, internet publishing, and other information services",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,514,"Data processing, internet publishing, and other information services",other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,4,1
2014,521CI,"Federal Reserve banks, credit intermediation, and related activities",carbon dioxide,"kg/2018 USD, purchaser price",0.073,0.0,0.073,3,2,1,3,1
2014,521CI,"Federal Reserve banks, credit intermediation, and related activities",methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2014,521CI,"Federal Reserve banks, credit intermediation, and related activities",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,521CI,"Federal Reserve banks, credit intermediation, and related activities",other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2014,523,"Securities, commodity contracts, and investments",carbon dioxide,"kg/2018 USD, purchaser price",0.118,0.0,0.118,3,2,1,3,1
2014,523,"Securities, commodity contracts, and investments",methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
